ticker,description,hedge_fund,action,date_updated
GOOGL,Alphabet Inc. Class,BERKSHIRE HATHAWAY INC,Purchase,2025-09-30
CB,Chubb Limited,BERKSHIRE HATHAWAY INC,Purchase,2025-09-30
LEN,Lennar Corp. Class A,BERKSHIRE HATHAWAY INC,Purchase,2025-09-30
DPZ,Dominos Pizza Inc,BERKSHIRE HATHAWAY INC,Purchase,2025-09-30
SIRI,Sirius XM Holdings I,BERKSHIRE HATHAWAY INC,Purchase,2025-09-30
VRSN,VeriSign Inc,BERKSHIRE HATHAWAY INC,Sale,2025-09-30
DVA,Davita Inc,BERKSHIRE HATHAWAY INC,Sale,2025-09-30
BAC,Bank Of America Corp,BERKSHIRE HATHAWAY INC,Sale,2025-09-30
DHI,"D.R. Horton, Inc",BERKSHIRE HATHAWAY INC,Sale,2025-09-30
NUE,Nucor Corp.,BERKSHIRE HATHAWAY INC,Sale,2025-09-30
GOOGL,Alphabet Inc. Class,RENAISSANCE TECHNOLOGIES LLC,Purchase,2025-09-30
MSFT,Microsoft Corporatio,RENAISSANCE TECHNOLOGIES LLC,Purchase,2025-09-30
GOOG,Alphabet Inc. Class,RENAISSANCE TECHNOLOGIES LLC,Purchase,2025-09-30
META,Meta Platforms Inc,RENAISSANCE TECHNOLOGIES LLC,Purchase,2025-09-30
RBLX,Roblox Corporation,RENAISSANCE TECHNOLOGIES LLC,Purchase,2025-09-30
HOOD,Robinhood Markets In,RENAISSANCE TECHNOLOGIES LLC,Sale,2025-09-30
AAPL,Apple Inc,RENAISSANCE TECHNOLOGIES LLC,Sale,2025-09-30
NFLX,Netflix Inc,RENAISSANCE TECHNOLOGIES LLC,Sale,2025-09-30
PLTR,Palantir Technologie,RENAISSANCE TECHNOLOGIES LLC,Sale,2025-09-30
COIN,Coinbase Global Inc,RENAISSANCE TECHNOLOGIES LLC,Sale,2025-09-30
RKLB,Rocket Lab Corp.,BAILLIE GIFFORD & COMPANY,Purchase,2025-09-30
ENSG,Ensign Group Inc,BAILLIE GIFFORD & COMPANY,Purchase,2025-09-30
COIN,Coinbase Global Inc,BAILLIE GIFFORD & COMPANY,Purchase,2025-09-30
MSCI,MSCI Inc,BAILLIE GIFFORD & COMPANY,Purchase,2025-09-30
KNF,Knife River Corp,BAILLIE GIFFORD & COMPANY,Purchase,2025-09-30
MELI,MercadoLibre Inc,BAILLIE GIFFORD & COMPANY,Sale,2025-09-30
SPOT,Spotify Technology S,BAILLIE GIFFORD & COMPANY,Sale,2025-09-30
NFLX,Netflix Inc,BAILLIE GIFFORD & COMPANY,Sale,2025-09-30
TTD,Trade Desk Inc,BAILLIE GIFFORD & COMPANY,Sale,2025-09-30
ISRG,Intuitive Surgical I,BAILLIE GIFFORD & COMPANY,Sale,2025-09-30
AVGO,Broadcom Inc,TIGER GLOBAL MANAGEMENT LLC,Purchase,2025-09-30
NFLX,Netflix Inc,TIGER GLOBAL MANAGEMENT LLC,Purchase,2025-09-30
AMZN,Amazon.com Inc,TIGER GLOBAL MANAGEMENT LLC,Purchase,2025-09-30
GEV,GE Vernova Inc,TIGER GLOBAL MANAGEMENT LLC,Purchase,2025-09-30
CPNG,Coupang Inc,TIGER GLOBAL MANAGEMENT LLC,Purchase,2025-09-30
META,Meta Platforms Inc,TIGER GLOBAL MANAGEMENT LLC,Sale,2025-09-30
LLY,Lilly(Eli) & Co,TIGER GLOBAL MANAGEMENT LLC,Sale,2025-09-30
SHW,Sherwin-Williams Co,TIGER GLOBAL MANAGEMENT LLC,Sale,2025-09-30
CRWD,Crowdstrike Holdings,TIGER GLOBAL MANAGEMENT LLC,Sale,2025-09-30
NVO,Novo Nordisk,TIGER GLOBAL MANAGEMENT LLC,Sale,2025-09-30
WHR,Whirlpool Corp.,APPALOOSA LP,Purchase,2025-09-30
AMD,Advanced Micro Devic,APPALOOSA LP,Purchase,2025-09-30
KWEB,KraneShares CSI Chin,APPALOOSA LP,Purchase,2025-09-30
QCOM,QUALCOMM Inc,APPALOOSA LP,Purchase,2025-09-30
FI,"Fiserv, Inc",APPALOOSA LP,Purchase,2025-09-30
UNH,UnitedHealth Group I,APPALOOSA LP,Sale,2025-09-30
INTC,Intel Corp,APPALOOSA LP,Sale,2025-09-30
VST,Vistra Corp,APPALOOSA LP,Sale,2025-09-30
AMZN,Amazon.com Inc,APPALOOSA LP,Sale,2025-09-30
META,Meta Platforms Inc,APPALOOSA LP,Sale,2025-09-30
UNP,Union Pacific Corp,BAUPOST GROUP LLC,Purchase,2025-09-30
QSR,Restaurant Brands In,BAUPOST GROUP LLC,Purchase,2025-09-30
GPC,Genuine Parts Co,BAUPOST GROUP LLC,Purchase,2025-09-30
ELV,Elevance Health Inc,BAUPOST GROUP LLC,Purchase,2025-09-30
EXP,Eagle Materials Inc,BAUPOST GROUP LLC,Purchase,2025-09-30
WCC,"WESCO International,",BAUPOST GROUP LLC,Sale,2025-09-30
VSAT,Viasat Inc,BAUPOST GROUP LLC,Sale,2025-09-30
WTW,Willis Towers Watson,BAUPOST GROUP LLC,Sale,2025-09-30
GOOG,Alphabet Inc. Class,BAUPOST GROUP LLC,Sale,2025-09-30
LBRDK,Liberty Broadband Co,BAUPOST GROUP LLC,Sale,2025-09-30
AVGO,Broadcom Inc,"ALTIMETER CAPITAL MANAGEMENT, LP",Purchase,2025-09-30
