ticker,score,confidence,hedge_fund_sell_count,insider_sell_count,congress_sell_count,hedge_fund_buy_count,insider_buy_count,congress_buy_count
TTD,1.5,Medium,1,0,0,0,0,0
ANSS,1.5,Medium,1,0,0,0,0,0
INTC,1.5,Medium,1,0,0,0,0,0
UNH,1.5,Medium,1,0,0,0,0,0
DVA,1.5,Medium,1,0,0,0,0,0
ARM,1.5,Medium,1,0,0,0,0,0
VSAT,1.5,Medium,1,0,0,0,0,0
VST,1.5,Medium,1,0,0,0,0,0
PRU,1.5,Medium,1,0,0,0,0,0
NVO,1.5,Medium,1,0,0,0,0,0
LLY,1.5,Medium,1,0,0,0,0,0
WCC,1.5,Medium,1,0,0,0,0,0
ROKU,1.5,Medium,1,0,0,0,0,0
PLTR,1.5,Medium,1,0,0,0,0,0
SPOT,1.5,Medium,1,0,0,0,0,0
PBUS,1.5,Medium,1,0,0,0,0,0
LUV,1.5,Medium,1,0,0,0,0,0
ASML,2.0,Medium,0,0,3,0,0,1
BRK.B,2.0,Medium,0,0,3,0,0,1
AAPL,2.0,Medium,1,0,3,1,0,1
NFLX,1.5,Medium,2,0,0,1,0,0
COIN,1.5,Medium,2,0,0,1,0,0
WTW,1.5,Medium,1,0,0,0,0,0
CFLT,1.5,Medium,1,0,0,0,0,0
HES,1.5,Medium,1,0,0,0,0,0
CRWD,1.5,Medium,1,0,0,0,0,0
JNJ,2.0,Medium,0,0,2,0,0,0
META,3.0,Medium,3,0,0,1,0,0
CEG,2.5,Medium,1,0,2,0,0,1
DHI,1.5,Medium,1,0,0,0,0,0
VTRS,1.5,Medium,1,0,0,0,0,0
GH,1.5,Medium,1,0,0,0,0,0
DDOG,1.5,Medium,1,0,0,0,0,0
VRSN,1.5,Medium,1,0,0,0,0,0
BAC,2.5,Medium,1,0,2,0,0,1
IOT,1.5,Medium,1,0,0,0,0,0
MELI,1.5,Medium,1,0,0,0,0,0
NUE,1.5,Medium,1,0,0,0,0,0
INTU,1.5,Medium,1,0,0,0,0,0
CRWV,1.5,Medium,1,0,0,0,0,0
ISRG,1.5,Medium,1,0,0,0,0,0
SNOW,1.5,Medium,1,0,0,0,0,0
CHRD,1.0,Low,0,0,2,0,0,1
ALLE,1.0,Low,0,0,2,0,0,1
BHP,1.0,Low,0,0,2,0,0,1
CASY,1.0,Low,0,0,2,0,0,1
AZN,1.0,Low,0,0,2,0,0,1
AVB,1.0,Low,0,0,2,0,0,1
BRO,1.0,Low,0,0,2,0,0,1
ABBV,1.0,Low,0,0,2,0,0,1
ACIW,1.0,Low,0,0,2,0,0,1
ALEX,1.0,Low,0,0,2,0,0,1
AMZN,1.0,Low,2,0,1,2,0,0
BL,1.0,Low,0,0,2,0,0,1
BAX,1.0,Low,0,0,2,0,0,1
BCS,1.0,Low,0,0,2,0,0,1
TMUS,0.2999999999999998,Low,0,1,1,0,1,0
AMH,1.0,Low,0,0,2,0,0,1
BP,1.0,Low,0,0,2,0,0,1
AKAM,1.0,Low,0,0,2,0,0,1
BK,1.0,Low,0,0,2,0,0,1
BSX,1.0,Low,0,0,2,0,0,1
APPF,1.0,Low,0,0,2,0,0,1
BCO,1.0,Low,0,0,2,0,0,1
BWXT,1.0,Low,0,0,2,0,0,1
CACI,1.0,Low,0,0,2,0,0,1
LBRDK,3.0,High,2,0,0,0,0,0
TXN,3.0,High,0,0,3,0,0,0
HOOD,3.0,High,2,0,0,0,0,0
CARR,3.0,High,0,0,3,0,0,0
SHW,4.5,High,1,0,3,0,0,0
